TOKEN	LEXEMA
TokenType.COMMENT_BLOCK	/* Archivo de prueba para el Analizador Lexico
   Proyecto Compiladores 2026
*/
TokenType.INT	int
TokenType.MAIN	main
TokenType.LPAREN	(
TokenType.RPAREN	)
TokenType.LBRACE	{
TokenType.COMMENT_LINE	// Declaracion de variables
TokenType.INT	int
TokenType.ID	contador
TokenType.ASSIGN	=
TokenType.NUM_INT	0
TokenType.SEMI	;
TokenType.FLOAT	float
TokenType.ID	pi
TokenType.ASSIGN	=
TokenType.NUM_FLOAT	3.1416
TokenType.SEMI	;
TokenType.FLOAT	float
TokenType.ID	radio
TokenType.COMMA	,
TokenType.ID	area
TokenType.SEMI	;
TokenType.CIN	cin
TokenType.COMMA	,
TokenType.ID	radio
TokenType.SEMI	;
TokenType.ID	area
TokenType.ASSIGN	=
TokenType.ID	pi
TokenType.TIMES	*
TokenType.LPAREN	(
TokenType.ID	radio
TokenType.ERROR	^
TokenType.NUM_INT	2
TokenType.RPAREN	)
TokenType.SEMI	;
TokenType.IF	if
TokenType.LPAREN	(
TokenType.ID	area
TokenType.GTEQ	>=
TokenType.NUM_FLOAT	100.5
TokenType.AND	&&
TokenType.ID	radio
TokenType.NEQ	!=
TokenType.NUM_INT	0
TokenType.RPAREN	)
TokenType.LBRACE	{
TokenType.ID	contador
TokenType.INC	++
TokenType.SEMI	;
TokenType.RBRACE	}
TokenType.ELSE	else
TokenType.LBRACE	{
TokenType.ID	contador
TokenType.DEC	--
TokenType.SEMI	;
TokenType.RBRACE	}
TokenType.DO	do
TokenType.LBRACE	{
TokenType.ID	contador
TokenType.ASSIGN	=
TokenType.ID	contador
TokenType.PLUS	+
TokenType.NUM_INT	1
TokenType.MOD	%
TokenType.NUM_INT	5
TokenType.SEMI	;
TokenType.RBRACE	}
TokenType.WHILE	while
TokenType.LPAREN	(
TokenType.ID	contador
TokenType.LT	<
TokenType.NUM_INT	10
TokenType.OR	||
TokenType.NOT	!
TokenType.ID	contador
TokenType.RPAREN	)
TokenType.SEMI	;
TokenType.SWITCH	switch
TokenType.LPAREN	(
TokenType.ID	contador
TokenType.RPAREN	)
TokenType.LBRACE	{
TokenType.CASE	case
TokenType.NUM_INT	1
TokenType.ERROR	:
TokenType.COUT	cout
TokenType.COMMA	,
TokenType.DQUOTE	"
TokenType.ID	El
TokenType.ID	area
TokenType.ID	es
TokenType.ID	pequeña
TokenType.DQUOTE	"
TokenType.SEMI	;
TokenType.RBRACE	}
TokenType.SQUOTE	'
TokenType.ID	F
TokenType.SQUOTE	'
TokenType.RBRACE	}
TokenType.ENDFILE	EOF
