TOKEN               	LEXEME         	POSITION
-------------------------------------------------------
MAIN                	main
LBRACE              	{
INT                 	int
ID                  	sumar
ASSIGN              	=
NUM_FLOAT           	3.14
SEMI                	;
INT                 	int
ID                  	x
COMMA               	,
ID                  	y
COMMA               	,
ID                  	z
SEMI                	;
FLOAT               	float
ID                  	a
COMMA               	,
ID                  	b
COMMA               	,
ID                  	c
SEMI                	;
ID                  	suma
ASSIGN              	=
NUM_INT             	45
SEMI                	;
ID                  	x
ASSIGN              	=
NUM_FLOAT           	32.32
SEMI                	;
ID                  	x
ASSIGN              	=
NUM_INT             	23
SEMI                	;
ID                  	y
ASSIGN              	=
NUM_INT             	2
PLUS                	+
NUM_INT             	3
MINUS               	-
NUM_INT             	1
SEMI                	;
ID                  	z
ASSIGN              	=
ID                  	y
PLUS                	+
NUM_INT             	7
SEMI                	;
ID                  	y
ASSIGN              	=
ID                  	y
PLUS                	+
NUM_INT             	1
SEMI                	;
ID                  	a
ASSIGN              	=
NUM_FLOAT           	24.0
PLUS                	+
NUM_INT             	4
MINUS               	-
NUM_INT             	1
OVER                	/
NUM_INT             	3
TIMES               	*
NUM_INT             	2
PLUS                	+
NUM_INT             	34
MINUS               	-
NUM_INT             	1
SEMI                	;
ID                  	x
ASSIGN              	=
LPAREN              	(
NUM_INT             	5
MINUS               	-
NUM_INT             	3
RPAREN              	)
TIMES               	*
LPAREN              	(
NUM_INT             	8
OVER                	/
NUM_INT             	2
RPAREN              	)
SEMI                	;
ID                  	y
ASSIGN              	=
NUM_INT             	5
PLUS                	+
NUM_INT             	3
MINUS               	-
NUM_INT             	2
TIMES               	*
NUM_INT             	4
OVER                	/
NUM_INT             	7
MINUS               	-
NUM_INT             	9
SEMI                	;
ID                  	z
ASSIGN              	=
NUM_INT             	8
OVER                	/
NUM_INT             	2
PLUS                	+
NUM_INT             	15
TIMES               	*
NUM_INT             	4
SEMI                	;
ID                  	y
ASSIGN              	=
NUM_FLOAT           	14.54
SEMI                	;
IF                  	if
LPAREN              	(
NUM_INT             	2
GT                  	>
NUM_INT             	3
RPAREN              	)
LBRACE              	{
ID                  	y
ASSIGN              	=
ID                  	a
PLUS                	+
NUM_INT             	3
SEMI                	;
RBRACE              	}
ELSE                	else
LBRACE              	{
IF                  	if
LPAREN              	(
NUM_INT             	4
GT                  	>
NUM_INT             	2
AND                 	&&
ID                  	true
RPAREN              	)
LBRACE              	{
ID                  	b
ASSIGN              	=
NUM_FLOAT           	3.2
SEMI                	;
RBRACE              	}
ELSE                	else
LBRACE              	{
ID                  	b
ASSIGN              	=
NUM_FLOAT           	5.0
SEMI                	;
RBRACE              	}
ID                  	y
ASSIGN              	=
ID                  	y
PLUS                	+
NUM_INT             	1
SEMI                	;
RBRACE              	}
ID                  	a
INC                 	++
SEMI                	;
ID                  	c
DEC                 	--
SEMI                	;
ID                  	x
ASSIGN              	=
NUM_INT             	3
PLUS                	+
NUM_INT             	4
SEMI                	;
DO                  	do
LBRACE              	{
ID                  	y
ASSIGN              	=
LPAREN              	(
ID                  	y
PLUS                	+
NUM_INT             	1
RPAREN              	)
TIMES               	*
NUM_INT             	2
PLUS                	+
NUM_INT             	1
SEMI                	;
WHILE               	while
LPAREN              	(
ID                  	x
GT                  	>
NUM_INT             	7
RPAREN              	)
LBRACE              	{
ID                  	x
ASSIGN              	=
NUM_INT             	6
PLUS                	+
NUM_INT             	8
OVER                	/
NUM_INT             	9
TIMES               	*
NUM_INT             	8
OVER                	/
NUM_INT             	3
SEMI                	;
CIN                 	cin
GT                  	>
GT                  	>
ID                  	x
SEMI                	;
ID                  	mas
ASSIGN              	=
NUM_INT             	36
OVER                	/
NUM_INT             	7
SEMI                	;
RBRACE              	}
RBRACE              	}
WHILE               	while
LPAREN              	(
ID                  	y
EQ                  	==
NUM_INT             	5
RPAREN              	)
SEMI                	;
WHILE               	while
LPAREN              	(
ID                  	y
EQ                  	==
NUM_INT             	0
RPAREN              	)
LBRACE              	{
CIN                 	cin
GT                  	>
GT                  	>
ID                  	mas
SEMI                	;
COUT                	cout
LT                  	<
LT                  	<
ID                  	x
SEMI                	;
RBRACE              	}
RBRACE              	}
ENDFILE             	EOF
